date_surveyed,user_id,state,municipio,hour_wait
2020-10-17 16:55:00.307 UTC,5741310959157248,Miranda,Guaicaipuro,7
2020-10-17 16:13:24.233 UTC,5722920065433600,Miranda,Baruta,5
2020-10-17 16:13:22.601 UTC,4733525250539520,Miranda,Baruta,5
2020-10-17 15:28:53.078 UTC,4787530122919936,Zulia,Maracaibo,18
2020-10-17 14:34:49.906 UTC,4688866742370304,Miranda,Sucre,3
2020-10-17 14:33:26.847 UTC,5958788505927680,Miranda,Carrizal,1
2020-10-17 14:21:07.017 UTC,6299021443858432,Miranda,Plaza,10
2020-10-17 13:29:36.096 UTC,5822107754954752,Táchira,San Cristóbal,8
2020-10-17 13:05:40.889 UTC,6218702299070464,Miranda,Zamora,6
2020-10-17 12:33:18.271 UTC,6462487454285824,Zulia,Lagunillas,12
2020-10-17 10:34:07.771 UTC,6179527989395456,Miranda,Guaicaipuro,6
2020-10-16 22:12:17.890 UTC,5689299557679104,Táchira,San Cristóbal,72
2020-10-16 21:01:26.519 UTC,5518994542428160,Táchira,San Cristóbal,8
2020-10-16 20:57:58.823 UTC,4965568881098752,Miranda,Carrizal,4
2020-10-16 20:55:38.477 UTC,5487970507816960,Miranda,Carrizal,5
2020-10-16 20:03:02.552 UTC,5816820229734400,Miranda,Guaicaipuro,2
2020-10-16 19:06:19.129 UTC,5078570214096896,Táchira,Cárdenas,3
2020-10-16 17:48:31.029 UTC,5858342343278592,Distrito Capital,Libertador,4
2020-10-16 17:46:44.380 UTC,5658343308001280,Distrito Capital,Libertador,4
2020-10-16 16:21:39.400 UTC,5897665746829312,Distrito Capital,Libertador,10
2020-10-16 16:13:03.906 UTC,4644370571067392,Distrito Capital,Libertador,5
2020-10-16 16:02:34.644 UTC,5265877915402240,Zulia,Cabimas,12
2020-10-16 15:37:03.101 UTC,5281074478579712,Miranda,Guaicaipuro,4
2020-10-16 15:25:02.981 UTC,4979212890144768,Miranda,Guaicaipuro,23
2020-10-16 15:05:03.635 UTC,6577187285630976,Distrito Capital,Libertador,3
2020-10-16 14:27:53.036 UTC,5349310667423744,Miranda,Guaicaipuro,4
2020-10-16 14:23:24.199 UTC,5843960590237696,Distrito Capital,Libertador,1
2020-10-16 13:59:01.573 UTC,6453581420167168,Miranda,Plaza,20
2020-10-16 13:46:34.029 UTC,5358066425397248,Distrito Capital,Libertador,10
2020-10-16 12:19:03.118 UTC,4804610934177792,Zulia,Maracaibo,0
2020-10-16 12:14:26.807 UTC,6708376363073536,Miranda,Guaicaipuro,45
2020-10-16 11:44:06.670 UTC,5344189491707904,Miranda,Guaicaipuro,8
2020-10-16 11:37:39.524 UTC,6586915619340288,Miranda,Plaza,4
2020-10-15 22:02:23.856 UTC,6737408078905344,Distrito Capital,Libertador,4
2020-10-15 21:47:52.957 UTC,4835296144523264,Distrito Capital,Libertador,4
2020-10-15 21:39:16.169 UTC,6185682495602688,Distrito Capital,Libertador,3
2020-10-15 21:33:19.596 UTC,5621812307427328,Zulia,Maracaibo,6
2020-10-15 21:29:50.753 UTC,4923585044152320,Táchira,Guasimos,7
2020-10-15 21:29:50.256 UTC,5727082709516288,Táchira,Cárdenas,12
2020-10-15 21:22:22.782 UTC,6217000599945216,Distrito Capital,Libertador,12
2020-10-15 21:17:45.313 UTC,6048556860571648,Zulia,Maracaibo,18
2020-10-15 20:08:20.688 UTC,5749830830784512,Miranda,Guaicaipuro,6
2020-10-15 20:01:42.420 UTC,5717724838756352,Miranda,Sucre,2
2020-10-15 18:48:05.613 UTC,6356196858003456,Zulia,Maracaibo,16
2020-10-15 18:24:59.768 UTC,4641111110057984,Táchira,Bolívar,2
2020-10-15 18:17:18.431 UTC,6656911790571520,Miranda,Chacao,6
2020-10-15 17:53:23.250 UTC,4534538207494144,Miranda,Carrizal,25
2020-10-15 16:40:27.176 UTC,5378859284824064,Táchira,San Cristóbal,2
2020-10-15 16:39:59.868 UTC,5395758899789824,Zulia,Maracaibo,12
2020-10-15 16:39:06.437 UTC,5925797526503424,Distrito Capital,Libertador,2
2020-10-15 16:32:24.489 UTC,6738738981896192,Distrito Capital,Libertador,3
2020-10-15 16:30:01.148 UTC,6206042876674048,Miranda,Carrizal,1
2020-10-15 16:12:05.163 UTC,6613227636523008,Distrito Capital,Libertador,1
2020-10-15 16:04:53.886 UTC,5356293935595520,Miranda,Carrizal,5
2020-10-15 15:58:53.410 UTC,5995113392111616,Miranda,Carrizal,1
2020-10-15 15:58:49.742 UTC,6122434626584576,Miranda,Carrizal,1
2020-10-15 15:54:35.181 UTC,5714967692574720,Distrito Capital,Libertador,3
2020-10-15 15:30:59.509 UTC,5911396560666624,Distrito Capital,Libertador,3
2020-10-15 15:30:50.325 UTC,6637938299895808,Táchira,San Cristóbal,46
2020-10-15 14:42:06.201 UTC,5754531626876928,Miranda,Baruta,8
2020-10-15 14:38:27.262 UTC,5288558018691072,Miranda,Sucre,12
2020-10-15 14:32:31.807 UTC,5109830658555904,Miranda,Carrizal,2
2020-10-15 14:20:38.466 UTC,4881881079480320,Zulia,Maracaibo,5
2020-10-15 14:18:06.552 UTC,6733790513987584,Táchira,San Cristóbal,8
2020-10-15 14:12:38.862 UTC,5544593719558144,Zulia,Maracaibo,15
2020-10-15 13:57:48.475 UTC,5405928052752384,Miranda,Guaicaipuro,5
2020-10-15 13:42:54.495 UTC,4834863308079104,Miranda,Guaicaipuro,5
2020-10-15 13:26:04.416 UTC,5051905798832128,Miranda,Lander,6
2020-10-15 13:18:04.013 UTC,5168135180386304,Zulia,Maracaibo,15
2020-10-15 13:06:35.343 UTC,6622789959155712,Distrito Capital,Libertador,2
2020-10-15 13:05:42.145 UTC,6622789959155712,Distrito Capital,Libertador,3
2020-10-15 13:00:14.089 UTC,6560016378626048,Miranda,Chacao,0
2020-10-15 12:56:47.662 UTC,5133597900013568,Distrito Capital,Libertador,3
2020-10-15 12:20:00.623 UTC,6638080825229312,Zulia,Maracaibo,6
2020-10-15 12:19:51.688 UTC,5746595057631232,Zulia,Machiques de Perijá,6
2020-10-15 12:08:42.882 UTC,6656704810057728,Miranda,Carrizal,8
2020-10-15 11:49:54.568 UTC,5657696295976960,Miranda,Zamora,3
2020-10-15 11:45:49.865 UTC,6215603213303808,Distrito Capital,Libertador,2
2020-10-15 11:45:11.953 UTC,6309256048934912,Distrito Capital,Libertador,2
2020-10-15 11:44:38.123 UTC,6309256048934912,Distrito Capital,Libertador,2
2020-10-15 11:42:42.190 UTC,6215603213303808,Distrito Capital,Libertador,2
2020-10-15 11:37:07.542 UTC,6722563904897024,Miranda,Baruta,16
2020-10-15 11:28:41.588 UTC,4519856566435840,Distrito Capital,Libertador,24
2020-10-15 11:28:18.839 UTC,6167396736827392,Distrito Capital,Libertador,6
2020-10-15 10:51:28.421 UTC,6060089233637376,Táchira,Guasimos,48
2020-10-15 10:41:01.637 UTC,4799369484435456,Miranda,Carrizal,3
2020-10-15 10:18:53.366 UTC,6589511974780928,Miranda,Guaicaipuro,5
2020-10-15 01:35:15.915 UTC,5353205722513408,Táchira,Cárdenas,10
2020-10-14 22:30:09.280 UTC,4949382245122048,Táchira,Guasimos,12
2020-10-14 22:29:44.432 UTC,6440463122038784,Táchira,Guasimos,10
2020-10-14 22:17:22.375 UTC,5071261672931328,Zulia,Maracaibo,96
2020-10-14 22:10:49.493 UTC,5012605556228096,Distrito Capital,Libertador,3
2020-10-14 21:56:32.839 UTC,6273836005195776,Distrito Capital,Libertador,9
2020-10-14 21:54:14.124 UTC,6417695026446336,Zulia,Cabimas,15
2020-10-14 21:02:05.404 UTC,6293453415645184,Distrito Capital,Libertador,2
2020-10-14 21:01:25.618 UTC,5480351171870720,Miranda,Baruta,6
